,LEA,LEADescription,AdminFirstName,AdminLastName,AdminEmailAddress,ShippingAddress,MailingCity,MailingState,MailingZip,AverageClassSize,AverageYearsTeachingExperience,DistrictAverageSpendingPerPupil,StateAverageSpendingPerPupil,SchoolChoiceTransfers,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults,SchoolEnrollment,SchoolChoiceTotal,NumberOfStudentsTestedInGrades9Thru11,NumberOfStudentsTestedInGrade12,AvgReading,AvgEnglish,AvgMath,AvgScience,AvgComposite,NumberOfStudentsTested,CriticalReadingMean,MathMean,WritingMean,NumberOfStudentsTakingAPCourses,NumberOfAPExamsTaken,NumberOfAPExamsScored3OrAbove,NumberOfStudentsTakingIBCourses,OverallCollegeGoingRate,OverallGraduationRate,DropoutRate,CollegeRemediationRate,Rating,OverallPoints,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP,Overall Expected Grad,Overall Graduation Rate,Hispanic Overall Grad Rate,Native American Overall Grad Rate,Asian Overall Grad Rate,African American Overall Grad Rate,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Overall Grad Rate,Two or More Overall Grad Rate,Economic Disadvantage Overall Grad Rate,SPED Overall Grad Rate,LEP Overall Grad Rate,latlongs
10,201008,Crossett Middle School,LOU,GREGORIO,lgregorio@csd.k12.ar.us,100 PETERSBURG ROAD,Crossett,AR,71635,17.0,12.0,9063.49,9641.65,0.0,,1.0,1.0,10.0,536.0,2.0,,,,,,,,,,,,,,,,,RV,0.38,,C,210.0,0.186567164179,2.425373134328,0.0,37.126865671641,0.5597014925370001,59.328358208955,0.373134328358,63.43,9.701492537313,1.865671641791,,,,,,,,,,,,,"(33.1154353, -91.9659223)"
11,203017,Hamburg Middle School,TAMMY,STREETER,tammystreeter@hsdlions.org,HAMBURG SCHOOL DISTRICT,Hamburg,AR,71646,17.0,13.0,9227.63,9641.65,0.0,,,,,487.0,18.0,,,,,,,,,,,,,,,,,RV,0.0,,D,206.0,0.205338809034,14.579055441478,0.0,23.203285420944,0.410677618069,61.601642710472,0.0,59.34,10.06160164271,8.418891170431,,,,,,,,,,,,,"(33.2009955, -91.7928402)"
12,203018,Hamburg High School,NICK,ADAMS,nadams@hsdlions.org,CENTRAL RECEIVING WAREHOUSE,Hamburg,AR,71646,17.0,14.0,9227.63,9641.65,0.0,,,,,595.0,19.0,120.0,99.0,20.15,19.36,19.05,19.64,19.75,0.0,RV,RV,RV,166.0,256.0,37.0,,55.3,86.33,2.18,60.61,B,242.0,0.336134453781,9.411764705882,0.0,27.394957983193002,0.336134453781,62.35294117646999,0.16806722689,54.79,7.7310924369739995,5.714285714285,139,86.33,91.67,0.00,RV,84.09,0.00,86.59,0.00,81.82,RV,90.91,"(33.2281757, -91.7976285)"
13,203019,Wilmot Elementary School,MICHELLE,DUNBAR,mdunbar@hsdlions.org,CENTRAL RECEIVING WAREHOUSE,Hamburg,AR,71646,8.0,13.0,9227.63,9641.65,0.0,,,,,49.0,2.0,,,,,,,,,,,,,,,,,RV,,,C,222.0,0.0,12.244897959183,0.0,79.591836734693,0.0,8.163265306122,0.0,87.76,10.204081632653,12.244897959183,,,,,,,,,,,,,"(33.2281757, -91.7976285)"
14,203020,Noble/Allbritton Elementary Sc,TRICIA,JOHNSON,tjohnson@hsdlions.org,HAMBURG SCHOOL DISTRICT,Hamburg,AR,71646,18.0,14.0,9227.63,9641.65,0.0,,1.0,1.0,12.0,679.0,10.0,,,,,,,,,,,,,,,,,RV,,,C,214.0,0.0,16.347569955817,0.0,17.083946980854,1.4727540500729999,65.095729013254,0.0,65.1,11.782032400589001,13.107511045655,,,,,,,,,,,,,"(33.2009955, -91.7928402)"
15,203027,Portland Elementary School,CRISTAL,WEST,cwest@hsdlions.org,CENTRAL RECEIVING WAREHOUSE,Portland,AR,71646,18.0,15.0,9227.63,9641.65,0.0,,,,,125.0,14.0,,,,,,,,,,,,,,,,,RV,,,C,217.0,0.0,13.6,0.0,10.4,1.6,74.4,0.0,65.6,6.4,13.6,,,,,,,,,,,,,"(33.2009955, -91.7928402)"
16,302006,Amanda Gist Elementary School,AIRL,CHEEK,acheek@cotterschools.net,152 LUCILLE,Cotter,AR,72626,15.0,13.0,8951.52,9641.65,1.0,,1.0,,,408.0,45.0,,,,,,,,,,,,,,,,,RV,,,C,235.0,0.0,0.245098039215,0.7352941176469999,0.245098039215,0.0,98.03921568627399,0.7352941176469999,72.55,10.049019607843,0.0,,,,,,,,,,,,,"(36.2777597, -92.5192727)"
17,302007,Cotter High School,Amanda,Britt,abritt@cotterschools.net,MABLE & LITHIA,Cotter,AR,72626,9.0,7.0,8951.52,9641.65,3.0,,,,,293.0,44.0,40.0,26.0,22.81,22.12,21.12,21.85,22.15,0.0,RV,RV,RV,24.0,26.0,3.0,,67.6,95.56,0.34,46.15,B,242.0,0.682593856655,3.7542662116039995,0.0,1.023890784982,0.0,94.19795221843,0.341296928327,65.53,10.238907849829,0.0,45,95.56,0.00,0.00,100.00,0.00,0.00,95.45,0.00,96.43,RV,0.00,"(36.2795339, -92.520856)"
18,303013,Nelson Wilks Herron Elementary,LEAH,COTTER,lcotter@mtnhome.k12.ar.us,618 NORTH COLLEGE,Mountain Home,AR,72653,20.0,15.0,8849.4,9641.65,0.0,,8.0,1.0,,632.0,20.0,,,,,,,,,,,,,,,,,RV,,,C,219.0,0.47468354430299997,4.588607594936,0.158227848101,0.47468354430299997,2.056962025316,91.455696202531,0.791139240506,61.08,15.031645569620002,0.47468354430299997,,,,,,,,,,,,,"(36.3476269, -92.3808988)"
19,303014,Pinkston Middle School,MICHELE,MCWILLIAMS,mmcwilliams@mtnhome.k12.ar.us,1301 SOUTH COLLEGE,Mountain Home,AR,72653,17.0,13.0,8849.4,9641.65,0.0,,,,,618.0,20.0,,,,,,,,,,,,,,,,,RV,0.0,,C,233.0,0.323624595469,2.912621359223,0.0,0.323624595469,3.074433656957,93.36569579288,0.0,50.97,7.119741100323,0.647249190938,,,,,,,,,,,,,"(36.3244841, -92.37980759999999)"
20,303018,Mountain Home Kindergarten,VANESSA,JONES,vjones@mtnhome.k12.ar.us,1310 POST OAK ROAD,Mountain Home,AR,72653,14.0,15.0,8849.4,9641.65,0.0,,,,,267.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,219.0,0.0,5.243445692883,0.0,1.123595505617,2.9962546816469997,89.51310861423201,1.123595505617,63.3,7.490636704119001,1.872659176029,,,,,,,,,,,,,"(36.3253796, -92.3765341)"
21,303019,Mountain Home Jr. High School,RON,CZANSKOWSKI,rcz@mtnhome.k12.ar.us,2301 RODEO DRIVE,Mountain Home,AR,72653,14.0,15.0,8849.4,9641.65,1.0,,1.0,,14.0,302.0,12.0,,,,,,,,,,,,,,,,,RV,0.33,,C,229.0,0.0,3.973509933774,0.0,0.0,3.973509933774,91.72185430463499,0.33112582781399996,54.64,10.264900662251,0.33112582781399996,,,,,,,,,,,,,"(36.3287139, -92.4033796)"
22,303024,Hackler Intermediate School,SONDRA,MONGER,smonger@mtnhome.k12.ar.us,965 West Rd,Mountain Home,AR,72653,20.0,15.0,8849.4,9641.65,0.0,,2.0,15.0,45.0,915.0,25.0,,,,,,,,,,,,,,,,,RV,,,C,219.0,0.7650273224040001,4.371584699453,0.43715846994499996,0.10928961748600001,4.1530054644800005,89.508196721311,0.655737704918,55.63,11.693989071038,0.8743169398899999,,,,,,,,,,,,,"(36.3348466, -92.3989558)"
23,303703,Mtn Home High Career Academics,DANA,BROWN,dbrown@mtnhome.k12.ar.us,500 BOMBER BLVD.,Mountain Home,AR,72653,13.0,13.0,8849.4,9641.65,,,2.0,5.0,7.0,,,194.0,163.0,23.47,21.95,21.23,22.68,22.5,7.0,RV,RV,RV,131.0,143.0,54.0,,54.1,84.21,3.23,43.56,B,240.0,0.0,3.2626427406190004,0.0,0.244698205546,2.52854812398,93.39314845024401,0.570962479608,48.78,7.585644371941,0.407830342577,285,84.21,100.00,0.00,RV,0.00,0.00,83.91,RV,79.53,66.67,RV,"(36.3309121, -92.3940683)"
24,304021,Norfork Elementary School,STACEY,BRADBURY,stacey.bradbury@norfork.k12.ar.us,161 MILDRED SIMPSON DRIVE,Norfork,AR,72658,16.0,15.0,11030.83,9641.65,0.0,,1.0,,,252.0,4.0,,,,,,,,,,,,,,,,,RV,,,B,263.0,0.0,1.190476190476,0.0,0.0,1.984126984126,96.825396825396,0.0,82.94,18.253968253968,0.0,,,,,,,,,,,,,"(36.1970092, -92.26703970000001)"
25,304022,Norfork High School,BOBBY,HULSE,bobby.hulse@norfork.k12.ar.us,136 MILDRED SIMPSON DRIVE,NORFORK,AR,72658,8.0,7.0,11030.83,9641.65,1.0,,,,,220.0,12.0,17.0,11.0,20.82,19.18,21.27,20.91,20.73,0.0,RV,RV,RV,17.0,19.0,2.0,,48.3,97.14,1.36,45.45,B,257.0,0.0,1.3636363636359998,0.0,0.0,2.7272727272719997,94.09090909090901,1.818181818181,80.91,10.0,0.0,35,97.14,RV,0.00,0.00,0.00,0.00,100.00,RV,96.67,RV,0.00,"(36.1970092, -92.26703970000001)"
26,401001,Thomas Jefferson Elem. School,Karrie,Arbuckle,karbuckle@bentonvillek12.org,810 BELLA VISTA ROAD,Bentonville,AR,72712,22.0,8.0,9117.63,9641.65,0.0,,,,,490.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,219.0,1.428571428571,10.408163265306,0.20408163265299997,4.897959183673,1.2244897959180001,79.38775510204,2.4489795918360002,37.55,9.795918367346,4.897959183673,,,,,,,,,,,,,"(36.3824961, -94.21627099999999)"
27,401002,Washington Junior High School,Timothy,Sparacino,tsparacino@bentonvillek12.org,1501 NE WILDCAT WAY,Bentonville,AR,72712,16.0,12.0,9117.63,9641.65,0.0,,,,,734.0,0.0,,,,,,,,,,,,,,,,,RV,0.41,,B,248.0,1.498637602179,8.446866485013,0.681198910081,2.58855585831,2.3160762942770003,80.517711171662,3.9509536784740003,29.84,12.806539509536,5.994550408718999,,,,,,,,,,,,,"(36.3737047, -94.1912601)"
28,401003,Bentonville High School,Chad,Scott,cscott@bentonvillek12.org,1801 SE J STREET,Bentonville,AR,72712,22.0,12.0,9117.63,9641.65,0.0,2.0,1.0,,,4358.0,0.0,1201.0,844.0,23.27,22.36,21.78,22.64,22.67,81.0,598.00,595.00,577.00,1324.0,2408.0,1429.0,220.0,60.4,88.72,1.2,36.97,B,264.0,1.606241395135,11.771454795776998,0.275355667737,3.1895364846249996,4.038549793483,74.41486920605699,4.703992657182,22.37,8.949059201468,5.41532813217,1011,88.72,87.18,70.59,100.00,87.10,RV,88.85,89.13,71.58,73.49,87.50,"(36.350881, -94.1957496)"
29,401004,R.E. Baker Elementary School,Kimberly,Sutton,ksutton@bentonvillek12.org,301 NW THIRD STREET,Bentonville,AR,72712,22.0,14.0,9117.63,9641.65,0.0,,,,,551.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,235.0,0.5444646098,3.085299455535,0.362976406533,2.177858439201,1.814882032667,86.38838475499,5.62613430127,12.7,10.163339382939999,1.4519056261340002,,,,,,,,,,,,,"(36.3745141, -94.21165979999999)"
30,401005,Old High Middle School,Jeffrey,Wasem,jwasem@bentonvillek12.org,406 NW 2ND ST.,Bentonville,AR,72712,19.0,14.0,9117.63,9641.65,0.0,1.0,2.0,1.0,,598.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,232.0,1.33779264214,5.852842809364001,0.0,1.8394648829429998,3.846153846153,85.785953177257,1.33779264214,28.76,11.705685618729,2.173913043478,,,,,,,,,,,,,"(36.373871, -94.2133363)"
31,401006,Sugar Creek Elementary School,Matthew,Cook,mcook@bentonvillek12.org,1102 BELLA VISTA ROAD,Bentonville,AR,72712,21.0,13.0,9117.63,9641.65,0.0,,1.0,,,514.0,0.0,,,,,,,,,,,,,,,,,RV,,,B,248.0,1.1673151750970001,8.560311284046,0.0,3.112840466926,3.501945525291,81.322957198443,2.3346303501940002,41.05,12.062256809338,2.918287937743,,,,,,,,,,,,,"(36.3840337, -94.215931)"
32,401007,Apple Glen Elementary School,Lisa,St. John,lstjohn@bentonvillek12.org,1801 NE BRAVE LANE,Bentonville,AR,72712,22.0,11.0,9117.63,9641.65,0.0,,,,,533.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,230.0,0.375234521575,11.819887429643,0.938086303939,2.626641651031,3.564727954971,70.356472795497,10.318949343339,32.08,9.943714821763,8.818011257035,,,,,,,,,,,,,"(36.373514, -94.18874199999999)"
33,401008,Ardis Ann Middle School,Steven,Hesselberg,shesselberg@bentonvillek12.org,3400 HIGHWAY 72 WEST,Bentonville,AR,72712,19.0,15.0,9117.63,9641.65,0.0,,1.0,,1.0,623.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,229.0,1.7656500802559998,11.717495987158001,0.0,3.691813804173,4.333868378812,74.47833065810501,4.0128410914920005,28.57,15.248796147672,6.420545746388,,,,,,,,,,,,,"(36.3717342, -94.25046859999999)"
34,401009,Elm Tree Elementary School,Mandie,Byrd,mbyrd@bentonvillek12.org,101 NW ELM TREE LANE,Bentonville,AR,72712,23.0,13.0,9117.63,9641.65,0.0,,,,,610.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,237.0,1.803278688524,8.524590163933999,0.327868852459,4.754098360655,3.442622950819,70.819672131147,10.327868852459,12.62,9.83606557377,2.622950819672,,,,,,,,,,,,,"(36.3721548, -94.24992669999999)"
35,401010,Lincoln Junior High School,Jonathon,Guthrie,jguthrie@bentonvillek12.org,1206 NW LEOPARD LANE,Bentonville,AR,72712,20.0,12.0,9117.63,9641.65,0.0,8.0,2.0,1.0,18.0,830.0,0.0,,,,,,,,,,,,,,,,,RV,0.0,,B,251.0,1.927710843373,10.722891566265,0.0,4.216867469879,3.7349397590359996,76.626506024096,2.771084337349,28.67,11.204819277108,4.698795180722,,,,,,,,,,,,,"(36.3870361, -94.21229439999999)"
36,401011,Mary Mae Jones Elem. School,Ashley,Williams,awilliams@bentonvillek12.org,500 SE 14TH STREET,Bentonville,AR,72712,23.0,11.0,9117.63,9641.65,0.0,,,5.0,1.0,634.0,0.0,,,,,,,,,,,,,,,,,RV,,,D,209.0,0.946372239747,22.870662460567,0.788643533123,3.154574132492,2.9968454258670003,55.678233438485,13.564668769716,54.42,10.252365930599,15.930599369085,,,,,,,,,,,,,"(36.3559625, -94.20425709999999)"
37,401012,Central Park At Morning Star,Stacee,Freeman,sfreeman@bentonvillek12.org,1400 SW LIBERTY AVENUE,Bentonville,AR,72712,25.0,13.0,9117.63,9641.65,0.0,,1.0,,,876.0,0.0,,,,,,,,,,,,,,,,,RV,,,B,249.0,1.141552511415,8.789954337899,0.228310502283,3.1963470319630005,3.424657534246,79.680365296803,3.538812785388,13.7,8.675799086757,3.0821917808209998,,,,,,,,,,,,,"(36.3178796, -94.23035209999999)"
38,401013,Ruth Barker Middle School,Rose,Fowler,rfowler@bentonvillek12.org,500 SE 18TH STREET,Bentonville,AR,72712,16.0,14.0,9117.63,9641.65,0.0,,1.0,,,571.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,233.0,2.101576182136,14.185639229422,0.175131348511,3.152364273204,4.378283712784,65.148861646234,10.858143607705,33.1,12.959719789842,10.683012259194,,,,,,,,,,,,,"(36.3517828, -94.2061708)"
39,401014,Centerton Gamble Elementary,Cathy,Hancock,chancock@bentonvillek12.org,1550 GAMBLE ROAD,Centerton,AR,72719,23.0,11.0,9117.63,9641.65,0.0,,,,,650.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,226.0,1.538461538461,13.538461538461,0.0,1.692307692307,3.384615384615,76.76923076923,3.0769230769230003,38.62,12.307692307692001,3.846153846153,,,,,,,,,,,,,"(36.3813101, -94.29186589999999)"
40,401015,Cooper Elementary School,Ervin,Young,mattyoung@bentonvillek12.org,2 BLOWING SPRINGS ROAD,Bella Vista,AR,72714,23.0,11.0,9117.63,9641.65,0.0,,,,,680.0,0.0,,,,,,,,,,,,,,,,,RV,,,B,251.0,1.4705882352939998,6.176470588235,0.0,0.14705882352900002,4.705882352941,86.617647058823,0.8823529411759999,25.15,9.852941176469999,1.7647058823519999,,,,,,,,,,,,,"(36.4371738, -94.2303336)"
41,401016,Willowbrook Elementary School,Cynthia,Dewey,cdewey@bentonvillek12.org,1800 SW GATOR BLVD,Bentonville,AR,72712,24.0,9.0,9117.63,9641.65,0.0,,,,,835.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,239.0,1.197604790419,11.736526946106999,0.239520958083,4.550898203592,4.43113772455,65.86826347305299,11.976047904191,22.63,8.383233532934,6.347305389221,,,,,,,,,,,,,"(36.3213424, -94.2335068)"
42,401017,Bright Field Middle School,Marilyn,Gilchrist,mgilchrist@bentonvillek12.org,5101 SW BRIGHT ROAD,Bentonville,AR,72712,22.0,14.0,9117.63,9641.65,0.0,0.0,,,,646.0,0.0,,,,,,,,,,,,,,,,,RV,,,B,246.0,0.46439628482900003,8.823529411764,0.154798761609,2.476780185758,3.5603715170270003,76.160990712074,8.359133126934001,19.97,10.681114551083,4.1795665634670005,,,,,,,,,,,,,"(36.3193617, -94.2364228)"
43,401018,J. William Fulbright Junior High School,Bradley,Webber,bwebber@bentonvillek12.org,5303 BRIGHT ROAD,Bentonville,AR,72712,20.0,13.0,9117.63,9641.65,0.0,,,,,764.0,0.0,,,,,,,,,,,,,,,,,RV,0.0,,B,263.0,1.178010471204,9.947643979057,0.0,1.8324607329840001,4.450261780104,75.261780104712,7.329842931937,20.16,9.816753926700999,6.675392670157,,,,,,,,,,,,,"(36.31998129999999, -94.2349091)"
44,402008,Decatur Northside Elementary,CARY,STAMPS,cstamps@decatursd.com,9083 MT. OLIVE RD,Decatur,AR,72722,18.0,9.0,10205.45,9641.65,0.0,,2.0,,,284.0,0.0,,,,,,,,,,,,,,,,,RV,,,C,210.0,4.929577464788,36.267605633802,1.056338028169,2.112676056338,0.352112676056,48.94366197183,6.338028169014,86.97,8.450704225352,26.760563380281,,,,,,,,,,,,,"(36.3537417, -94.4645939)"
45,402009,Decatur High School,DAWN,SCHOELLER,dschoeller@decatursd.com,1498 STADIUM AVE.,Decatur,AR,72722,9.0,6.0,10205.45,9641.65,0.0,,,,,141.0,0.0,26.0,30.0,18.4,16.67,18.3,18.97,18.23,1.0,RV,RV,RV,17.0,18.0,1.0,,38.5,81.82,0.71,70.0,C,216.0,4.255319148936,27.659574468084998,0.709219858156,1.418439716312,0.0,56.028368794326,9.929078014184,82.27,11.347517730496,27.659574468084998,44,81.82,100.00,RV,RV,RV,0.00,76.00,0.00,89.29,RV,RV,"(36.332757, -94.447189)"
46,402011,Decatur Middle School,Toby,Conrad,tconrad@decatursd.com,1498 Stadium Ave.,Decatur,AR,72722,15.0,11.0,10205.45,9641.65,0.0,,,1.0,7.0,119.0,0.0,,,,,,,,,,,,,,,,,RV,0.0,,D,197.0,4.201680672268,31.092436974789,0.8403361344529999,2.5210084033610003,0.8403361344529999,55.462184873949006,5.042016806722001,81.51,10.924369747899,29.411764705882,,,,,,,,,,,,,"(36.332757, -94.447189)"
47,403013,Gentry Intermediate School,DENISE,WATERS,dwaters@gentrypioneers.com,302 W SECOND ST.,Gentry,AR,72734,18.0,12.0,10061.98,9641.65,11.0,,,,,305.0,8.0,,,,,,,,,,,,,,,,,RV,,,C,239.0,4.590163934426,16.065573770491,0.0,0.655737704918,5.9016393442620005,66.229508196721,6.557377049179999,68.52,11.803278688524001,13.770491803278,,,,,,,,,,,,,"(36.2652324, -94.4886363)"
48,403014,Gentry High School,THOMAS,HARPER,bharper@gentrypioneers.com,1155 PIONEER LN,Gentry,AR,72734,10.0,9.0,10061.98,9641.65,15.0,,,,,450.0,8.0,70.0,65.0,21.54,20.45,20.29,20.86,20.88,0.0,RV,RV,RV,42.0,55.0,13.0,,47.1,85.84,2.0,53.85,B,262.0,6.666666666666,11.777777777776999,0.222222222222,0.0,9.777777777776999,63.111111111111,8.444444444443999,51.56,9.777777777776999,7.555555555555,113,85.84,76.19,RV,RV,0.00,0.00,84.62,100.00,77.78,80.00,RV,"(36.2571296, -94.4948919)"
49,403015,Gentry Middle School,LARRY,COZENS,lcozens@gentrypioneers.com,1265 PIONEER LN.,Gentry,AR,72734,15.0,11.0,10061.98,9641.65,8.0,,,,,327.0,9.0,,,,,,,,,,,,,,,,,RV,0.83,,B,249.0,5.198776758409,11.926605504587,0.0,0.0,4.892966360856001,71.865443425076,6.11620795107,56.57,15.596330275229,7.03363914373,,,,,,,,,,,,,"(36.256706, -94.49489609999999)"
50,403016,Gentry Primary School,GAYLA,WILMOTH,gwilmoth@gentrypioneers.com,1295 PIONEER LANE,Gentry,AR,72734,20.0,14.0,10061.98,9641.65,4.0,,,,,336.0,7.0,,,,,,,,,,,,,,,,,RV,,,C,239.0,6.845238095238,13.988095238095,0.595238095238,0.595238095238,5.95238095238,63.095238095237995,8.928571428571,65.18,6.5476190476189995,8.928571428571,,,,,,,,,,,,,"(36.2548711, -94.49629209999999)"
